City,Country,Latitude,Longitude,Annual_Sunlight_Hours,Daily_Peak_Sun_Hours,GHI_kWh_per_m2,Electricity_Price_USD_per_kWh,Solar_Installations_Count,Avg_System_Cost_USD,Avg_Annual_Production_kWh,Estimated_Annual_Savings_USD,Payback_Period_Years,ROI_Percentage,CO2_Reduction_Tons_per_Year,Solar_Viability_Score,Region
Tokyo,Japan,35.68,139.69,1900,5.2,3.8,0.15,12000,15000,8550,1282.5,11.7,8.5,3.42,47,Asia
Osaka,Japan,34.69,135.5,2000,5.5,3.9,0.15,12000,15000,9000,1350,11.1,9,3.6,49,Asia
Beijing,China,39.9,116.4,2700,7.4,4.8,0.15,609000,15000,12150,1822.5,8.2,12.2,4.86,58,Asia
Shanghai,China,31.23,121.47,2200,6,4.3,0.15,609000,15000,9900,1485,10.1,9.9,3.96,53,Asia
Delhi,India,28.61,77.21,2900,7.9,5.5,0.15,73000,15000,13050,1957.5,7.7,13,5.22,64,Asia
Mumbai,India,19.08,72.88,2800,7.7,5.2,0.15,73000,15000,12600,1890,7.9,12.7,5.04,61,Asia
Bangalore,India,12.97,77.59,2700,7.4,5.3,0.15,73000,15000,12150,1822.5,8.2,12.2,4.86,62,Asia
São Paulo,Brazil,-23.55,-46.63,2200,6,4.6,0.15,4800,15000,9900,1485,10.1,9.9,3.96,54,South America
Rio de Janeiro,Brazil,-22.91,-43.17,2400,6.6,4.9,0.15,4800,15000,10800,1620,9.3,10.8,4.32,57,South America
Johannesburg,South Africa,-26.2,28.05,3100,8.5,5.7,0.15,1600,15000,13950,2092.5,7.2,13.9,5.58,66,Africa
Cape Town,South Africa,-33.92,18.42,3000,8.2,5.6,0.15,1600,15000,13500,2025,7.4,13.5,5.4,65,Africa
Mexico City,Mexico,19.43,-99.13,2600,7.1,5,0.15,1200,15000,11700,1755,8.5,11.8,4.68,59,North America
Amsterdam,Netherlands,52.37,4.89,1600,4.4,3.1,0.15,4800,15000,7200,1080,13.9,7.2,2.88,39,Europe
Brussels,Belgium,50.85,4.35,1550,4.2,3,0.15,2100,15000,6975,1046.25,14.3,7,2.79,38,Europe
Stockholm,Sweden,59.33,18.07,1800,4.9,3.2,0.15,1900,15000,8100,1215,12.3,8.1,3.24,42,Europe
Oslo,Norway,59.91,10.75,1650,4.5,2.9,0.15,500,15000,7425,1113.75,13.5,7.4,2.97,39,Europe
Copenhagen,Denmark,55.68,12.57,1700,4.7,3.1,0.15,1100,15000,7650,1147.5,13.1,7.6,3.06,41,Europe
Athens,Greece,37.98,23.73,2900,7.9,5.4,0.15,2800,15000,13050,1957.5,7.7,13,5.22,63,Europe
Dubai,UAE,25.2,55.27,3500,9.6,6.2,0.15,850,15000,15750,2362.5,6.3,15.9,6.3,70,Asia
Singapore,Singapore,1.35,103.82,2400,6.6,4.5,0.15,150,15000,10800,1620,9.3,10.8,4.32,55,Asia
Bangkok,Thailand,13.76,100.5,2600,7.1,5.1,0.15,2100,15000,11700,1755,8.5,11.8,4.68,60,Asia
Seoul,South Korea,37.57,126.98,2200,6,4.1,0.15,4200,15000,9900,1485,10.1,9.9,3.96,51,Asia
Kuala Lumpur,Malaysia,3.14,101.69,2500,6.8,4.8,0.15,800,15000,11250,1687.5,8.9,11.2,4.5,57,Asia
Santiago,Chile,-33.45,-70.67,2800,7.7,5.5,0.15,1800,15000,12600,1890,7.9,12.7,5.04,63,South America
Buenos Aires,Argentina,-34.6,-58.38,2500,6.8,4.8,0.15,450,15000,11250,1687.5,8.9,11.2,4.5,57,South America
Lima,Peru,-12.05,-77.04,1800,4.9,4.2,0.15,320,15000,8100,1215,12.3,8.1,3.24,49,South America
Cairo,Egypt,30.04,31.24,3400,9.3,6,0.15,650,15000,15300,2295,6.5,15.4,6.12,68,Africa
Tel Aviv,Israel,32.09,34.78,3200,8.8,5.9,0.15,920,15000,14400,2160,6.9,14.5,5.76,67,Middle East
